task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	47/4f29b7	414509	MARSQ_MAP_ONLY:ConcatenateGenomes	COMPLETED	0	2023-11-29 11:20:46.881	9.5s	163ms	93.6%	4.9 MB	19.9 MB	402.8 MB	402.7 MB
2	c2/bb97b3	414510	MARSQ_MAP_ONLY:BBMAP_INDEX (concatenated_reference.fasta)	COMPLETED	0	2023-11-29 11:20:56.660	2m 10s	2m	194.2%	3.8 GB	9.3 GB	405.9 MB	1.7 GB
4	bc/2ccde7	414512	MARSQ_MAP_ONLY:BBMAP_ALIGN (FF_Dec2022_trim_host_removed)	COMPLETED	0	2023-11-29 11:23:06.753	8m 20s	8m 17s	4558.8%	62.8 GB	110.5 GB	42.5 GB	40.7 GB
3	4c/65ce06	414513	MARSQ_MAP_ONLY:BBMAP_ALIGN (FF_April2023_S32_host_removed)	COMPLETED	0	2023-11-29 11:23:06.898	15m 50s	15m 42s	4617.6%	63.1 GB	110.5 GB	72.1 GB	70 GB
5	45/2318d3	414514	MARSQ_MAP_ONLY:BBMAP_ALIGN (FF_Feb2023_S32_trim_host_removed)	COMPLETED	0	2023-11-29 11:23:07.012	21m 9s	21m 4s	4641.6%	63 GB	110.6 GB	92.8 GB	90.6 GB
6	2a/97782b	414515	MARSQ_MAP_ONLY:BBMAP_ALIGN (FF_Jan2023_trim_host_removed)	COMPLETED	0	2023-11-29 11:23:07.157	27m 9s	18m 44s	4619.1%	63 GB	110.4 GB	96 GB	93.9 GB
9	7c/951fbd	414517	MARSQ_MAP_ONLY:BBMAP_ALIGN (FF_Mar2023_S32_host_removed)	COMPLETED	0	2023-11-29 11:23:07.248	39m 39s	18m 31s	4631.3%	63.1 GB	110.6 GB	82.3 GB	80.2 GB
7	90/421852	414516	MARSQ_MAP_ONLY:BBMAP_ALIGN (FF_June2023_S32)	COMPLETED	0	2023-11-29 11:23:07.225	53m 59s	38m 10s	4663.1%	63.2 GB	109.5 GB	86.5 GB	86.7 GB
12	4a/a7f551	414520	MARSQ_MAP_ONLY:BBMAP_ALIGN (FF_PS_Dec2022_trim_host_removed)	COMPLETED	0	2023-11-29 11:23:07.575	55m 29s	1m 34s	4211.9%	11.2 GB	110.6 GB	8.5 GB	6.7 GB
8	e0/8f28b2	414518	MARSQ_MAP_ONLY:BBMAP_ALIGN (FF_June2023_S32_R)	COMPLETED	0	2023-11-29 11:23:07.336	59m 19s	32m 15s	4661.7%	63.1 GB	109.7 GB	86.5 GB	86.7 GB
11	9d/50bc91	414519	MARSQ_MAP_ONLY:BBMAP_ALIGN (FF-PS_April2023_S48_host_removed)	COMPLETED	0	2023-11-29 11:23:07.453	1h 1m 29s	21m 50s	4633.2%	63.1 GB	110.6 GB	121.3 GB	117.6 GB
13	17/9fbccb	414521	MARSQ_MAP_ONLY:BBMAP_ALIGN (FF-PS_Feb2023_S48_trim_host_removed)	COMPLETED	0	2023-11-29 11:23:07.613	1h 13m 9s	17m 38s	4621.9%	63.2 GB	111.1 GB	97.6 GB	94.2 GB
14	5f/41b14b	414523	MARSQ_MAP_ONLY:BBMAP_ALIGN (FF_PS_Jan2023_trim_host_removed)	COMPLETED	0	2023-11-29 11:23:07.667	1h 20m 9s	18m 36s	4619.7%	63.1 GB	110.3 GB	98.4 GB	95 GB
17	ce/911967	414525	MARSQ_MAP_ONLY:BBMAP_ALIGN (FF-PS_Mar2023_S48_host_removed)	COMPLETED	0	2023-11-29 11:23:07.727	1h 20m 29s	18s	2429.7%	7 GB	110.2 GB	2.3 GB	543 MB
10	87/c883fb	414522	MARSQ_MAP_ONLY:BBMAP_ALIGN (FF_May2023_S32_R)	COMPLETED	0	2023-11-29 11:23:07.646	1h 28m 19s	28m 59s	4646.1%	63.1 GB	109.7 GB	81.8 GB	81.9 GB
15	25/14fb86	414524	MARSQ_MAP_ONLY:BBMAP_ALIGN (FF-PS_June2023_S48)	COMPLETED	0	2023-11-29 11:23:07.698	1h 49m 39s	36m 24s	4660.9%	63.4 GB	109.5 GB	89.6 GB	88.7 GB
20	5f/3c0e39	414529	MARSQ_MAP_ONLY:SAMTOOLS_SORT (FF_Dec2022_trim_host_removed)	COMPLETED	0	2023-11-29 11:38:56.520	1h 34m 40s	58s	755.0%	10.1 GB	12 GB	5.7 GB	4.9 GB
21	4f/849ed7	414542	MARSQ_MAP_ONLY:SAMTOOLS_SORT (FF_April2023_S32_host_removed)	COMPLETED	0	2023-11-29 11:44:16.540	1h 30m 10s	1m 44s	814.7%	10.1 GB	12 GB	12.2 GB	10.9 GB
35	ff/783c71	414555	MARSQ_MAP_ONLY:SAMTOOLS_INDEX (FF_Dec2022_trim_host_removed)	COMPLETED	0	2023-11-29 13:14:26.835	39.7s	22s	140.8%	15.3 MB	220.9 MB	3.2 GB	1 MB
22	e5/fc19dd	414543	MARSQ_MAP_ONLY:SAMTOOLS_SORT (FF_Feb2023_S32_trim_host_removed)	COMPLETED	0	2023-11-29 11:50:16.630	1h 25m 50s	2m 24s	781.7%	10.1 GB	12 GB	16 GB	14.3 GB
23	e0/bac075	414544	MARSQ_MAP_ONLY:SAMTOOLS_SORT (FF_Jan2023_trim_host_removed)	COMPLETED	0	2023-11-29 12:02:46.611	1h 14m 10s	2m 27s	790.2%	10 GB	11.9 GB	16.7 GB	14.9 GB
36	48/d2a1f4	414557	MARSQ_MAP_ONLY:SAMTOOLS_INDEX (FF_April2023_S32_host_removed)	COMPLETED	0	2023-11-29 13:16:06.891	1m 10s	38s	142.6%	15.7 MB	220.9 MB	5.5 GB	1.1 MB
24	d2/90421d	414545	MARSQ_MAP_ONLY:SAMTOOLS_SORT (FF_Mar2023_S32_host_removed)	COMPLETED	0	2023-11-29 12:17:06.736	1h 1m	1m 57s	775.9%	10.2 GB	12.1 GB	12.9 GB	11.4 GB
26	54/30e47f	414547	MARSQ_MAP_ONLY:SAMTOOLS_SORT (FF_PS_Dec2022_trim_host_removed)	COMPLETED	0	2023-11-29 12:22:26.646	55m 40s	7s	790.2%	3.3 GB	10.9 GB	618.3 MB	565.9 MB
39	b9/c4f415	414559	MARSQ_MAP_ONLY:SAMTOOLS_INDEX (FF_Feb2023_S32_trim_host_removed)	COMPLETED	0	2023-11-29 13:17:16.633	1m 10s	49s	142.0%	16.1 MB	220.9 MB	7.1 GB	1.1 MB
40	fa/aa75d5	414561	MARSQ_MAP_ONLY:SAMTOOLS_INDEX (FF_Jan2023_trim_host_removed)	COMPLETED	0	2023-11-29 13:18:06.917	1m 30s	52s	140.9%	16.4 MB	220.9 MB	7.5 GB	1.2 MB
18	d4/7a0621	414526	MARSQ_MAP_ONLY:BBMAP_ALIGN (FF-PS_March2023_S76_R)	COMPLETED	0	2023-11-29 11:23:07.748	1h 57m 19s	36m 56s	4663.8%	63.1 GB	109.7 GB	96.8 GB	95.6 GB
25	7f/cc48cb	414546	MARSQ_MAP_ONLY:SAMTOOLS_SORT (FF_June2023_S32)	COMPLETED	0	2023-11-29 12:18:36.636	1h 1m 50s	3m 32s	819.5%	10.1 GB	12.1 GB	26 GB	23.1 GB
43	0f/2298c8	414564	MARSQ_MAP_ONLY:SAMTOOLS_INDEX (FF_Mar2023_S32_host_removed)	COMPLETED	0	2023-11-29 13:20:26.695	59.9s	46s	141.2%	16 MB	220.9 MB	6.1 GB	1.2 MB
27	8c/2b4d97	414548	MARSQ_MAP_ONLY:SAMTOOLS_SORT (FF_June2023_S32_R)	COMPLETED	0	2023-11-29 12:24:36.571	57m 10s	3m 36s	817.7%	10.2 GB	12.1 GB	26 GB	23.1 GB
31	d3/642ab7	414552	MARSQ_MAP_ONLY:SAMTOOLS_SORT (FF-PS_Mar2023_S48_host_removed)	COMPLETED	0	2023-11-29 12:51:26.632	30m 20s	1s	631.7%	4.8 MB	11.8 MB	47.8 MB	45.8 MB
44	d1/e89863	414565	MARSQ_MAP_ONLY:SAMTOOLS_INDEX (FF_PS_Dec2022_trim_host_removed)	COMPLETED	0	2023-11-29 13:20:26.906	1m 20s	4s	136.1%	11.8 MB	220.9 MB	566 MB	620.1 KB
30	a3/783e4b	414551	MARSQ_MAP_ONLY:SAMTOOLS_SORT (FF_PS_Jan2023_trim_host_removed)	COMPLETED	0	2023-11-29 12:43:36.594	39m	2m 3s	878.5%	10.2 GB	12.2 GB	15.8 GB	15.2 GB
29	7c/018d38	414550	MARSQ_MAP_ONLY:SAMTOOLS_SORT (FF-PS_Feb2023_S48_trim_host_removed)	COMPLETED	0	2023-11-29 12:43:16.671	39m 40s	2m 26s	828.2%	10.2 GB	12 GB	15.9 GB	15.2 GB
16	b8/c887f6	414527	MARSQ_MAP_ONLY:BBMAP_ALIGN (FF-PS_June2023_S48_R)	COMPLETED	0	2023-11-29 11:23:07.772	2h 9s	31m 45s	4656.1%	63.3 GB	110 GB	89.6 GB	88.7 GB
28	b3/f61eaa	414549	MARSQ_MAP_ONLY:SAMTOOLS_SORT (FF-PS_April2023_S48_host_removed)	COMPLETED	0	2023-11-29 12:36:16.599	47m	2m 49s	869.2%	10.2 GB	12.1 GB	19.8 GB	18.9 GB
48	ac/ae8864	414568	MARSQ_MAP_ONLY:SAMTOOLS_INDEX (FF_June2023_S32)	COMPLETED	0	2023-11-29 13:21:50.786	1m 36s	1m 20s	142.3%	17.7 MB	220.9 MB	10.9 GB	1.3 MB
52	f0/680069	414574	MARSQ_MAP_ONLY:SAMTOOLS_INDEX (FF-PS_Mar2023_S48_host_removed)	COMPLETED	0	2023-11-29 13:23:26.654	19.9s	1s	131.8%	4.7 MB	11.8 MB	46 MB	490.7 KB
32	3d/0bf91f	414553	MARSQ_MAP_ONLY:SAMTOOLS_SORT (FF_May2023_S32_R)	COMPLETED	0	2023-11-29 13:12:46.627	12m 20s	3m 13s	817.9%	10.2 GB	12.1 GB	24.2 GB	21.5 GB
49	e1/1cdc84	414571	MARSQ_MAP_ONLY:SAMTOOLS_INDEX (FF_June2023_S32_R)	COMPLETED	0	2023-11-29 13:22:56.684	2m 10s	1m 17s	143.8%	17.9 MB	220.9 MB	10.9 GB	1.3 MB
53	ca/c0b656	414575	MARSQ_MAP_ONLY:SAMTOOLS_INDEX (FF_PS_Jan2023_trim_host_removed)	COMPLETED	0	2023-11-29 13:23:46.636	1m 20s	53s	138.7%	14.5 MB	220.9 MB	7.9 GB	1009.6 KB
33	4f/4ca823	414554	MARSQ_MAP_ONLY:SAMTOOLS_SORT (FF-PS_June2023_S48)	COMPLETED	0	2023-11-29 13:13:36.598	12m 20s	3m 25s	838.4%	10.2 GB	12.1 GB	25.9 GB	24.2 GB
34	7d/4a9848	414556	MARSQ_MAP_ONLY:SplitBamAndStats (FF_Dec2022_trim_host_removed)	COMPLETED	0	2023-11-29 13:15:06.725	11m 20s	3m 28s	116.7%	32.4 MB	911.9 MB	28.8 GB	17 GB
56	2f/293824	414578	MARSQ_MAP_ONLY:SAMTOOLS_INDEX (FF-PS_Feb2023_S48_trim_host_removed)	COMPLETED	0	2023-11-29 13:25:06.779	1m 30s	52s	138.4%	14.7 MB	220.9 MB	7.8 GB	1018.5 KB
45	67/dd81f2	414566	MARSQ_MAP_ONLY:SplitBamAndStats (FF_PS_Dec2022_trim_host_removed)	COMPLETED	0	2023-11-29 13:21:26.618	5m 30s	20s	125.2%	6.7 MB	12.2 MB	2.5 GB	1.1 GB
58	d8/6ff4a7	414580	MARSQ_MAP_ONLY:SAMTOOLS_INDEX (FF-PS_April2023_S48_host_removed)	COMPLETED	0	2023-11-29 13:26:26.605	1m 10s	1m 1s	133.1%	15.2 MB	220.9 MB	9.7 GB	1 MB
61	1a/3e79ca	414582	MARSQ_MAP_ONLY:SAMTOOLS_INDEX (FF_May2023_S32_R)	COMPLETED	0	2023-11-29 13:26:56.612	1m 20s	1m 7s	138.1%	17.7 MB	220.9 MB	10.7 GB	1.4 MB
37	77/bb1a02	414558	MARSQ_MAP_ONLY:SplitBamAndStats (FF_April2023_S32_host_removed)	COMPLETED	0	2023-11-29 13:16:56.671	12m 20s	5m 55s	116.0%	34.6 MB	1 GB	47.1 GB	27.7 GB
62	33/09c8b7	414584	MARSQ_MAP_ONLY:SAMTOOLS_INDEX (FF-PS_June2023_S48)	COMPLETED	0	2023-11-29 13:27:36.745	1m 50s	1m 15s	140.2%	17 MB	220.9 MB	12 GB	1.2 MB
46	da/a670eb	414567	MARSQ_MAP_ONLY:SAMTOOLS_SORT (FF-PS_March2023_S76_R)	COMPLETED	0	2023-11-29 13:21:46.668	8m 50s	3m 39s	891.4%	10.3 GB	12.2 GB	29.3 GB	27.7 GB
38	d4/e76589	414560	MARSQ_MAP_ONLY:SplitBamAndStats (FF_Feb2023_S32_trim_host_removed)	COMPLETED	0	2023-11-29 13:18:06.715	12m 50s	7m 35s	115.5%	35 MB	1 GB	59 GB	34.7 GB
51	80/06f93e	414572	MARSQ_MAP_ONLY:SplitBamAndStats (FF-PS_Mar2023_S48_host_removed)	COMPLETED	0	2023-11-29 13:23:16.684	7m 50s	4s	111.4%	5.9 MB	12.2 MB	469.2 MB	100.9 MB
41	38/48bb71	414562	MARSQ_MAP_ONLY:SplitBamAndStats (FF_Jan2023_trim_host_removed)	COMPLETED	0	2023-11-29 13:18:26.628	13m 40s	7m 1s	117.2%	34.4 MB	1.1 GB	60.3 GB	35.3 GB
65	76/90e929	414587	MARSQ_MAP_ONLY:SAMTOOLS_INDEX (FF-PS_March2023_S76_R)	COMPLETED	0	2023-11-29 13:30:36.724	2m	1m 23s	137.1%	16.5 MB	220.9 MB	13.4 GB	1.2 MB
42	ee/e49bd1	414563	MARSQ_MAP_ONLY:SplitBamAndStats (FF_Mar2023_S32_host_removed)	COMPLETED	0	2023-11-29 13:19:36.687	13m 30s	7m 2s	113.4%	36.6 MB	1 GB	54.6 GB	32.4 GB
57	1c/394055	414573	MARSQ_MAP_ONLY:SAMTOOLS_SORT (FF-PS_June2023_S48_R)	COMPLETED	0	2023-11-29 13:23:17.075	11m 10s	3m 13s	884.2%	10.2 GB	12.1 GB	25.9 GB	24.2 GB
54	bc/c1a9c5	414576	MARSQ_MAP_ONLY:SplitBamAndStats (FF_PS_Jan2023_trim_host_removed)	COMPLETED	0	2023-11-29 13:25:06.661	9m 20s	2m 22s	145.7%	34.1 MB	1.1 GB	25.4 GB	11.6 GB
